stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
CJR001,3686,College Jean Rostand,BOULEVARD FAIDHERBE 59280 ARMENTIERES - VOIE D'ACCES PARKING COLLEGE,50.686851,2.867803,1,,0,130,,0
AHO001,4204,Ct Hospitalier,BOULEVARD FAIDHERBE 59280 ARMENTIERES -,50.683628,2.870507,1,,0,6899,,0
MSG001,4560,Marc Sangnier,AVENUE MARC SANGNIER 59280 ARMENTIERES - AU DROIT DU N°91,50.697903,2.883892,1,,0,6957,,0
LEO001,4575,Leo Lagrange,RUE LEON BLUM 59280 ARMENTIERES - AU DROIT DU N° 195,50.694587,2.887316,1,,0,6959,,0
RLI002,3909,Rue De Lille,RUE DE LILLE 59280 ARMENTIERES - AU DROIT DU N°53,50.684267,2.880454,1,,0,6962,,0
ARG083,6046,Armentieres Gare,AU DROIT STATION 59280 ARMENTIERES - A L'OPP VOIES SNCF,50.680715,2.878368,1,,0,6950,,0
BLT001,4921,Louis Bleriot,RUE LEON BLUM 59280 ARMENTIERES - A L'OPP DU N° 1180,50.703221,2.888004,1,,0,133,,0
PMT001,5541,Place Aux Toiles,RUE ARISTIDE BRIAND 59280 ARMENTIERES - A L'OPP N°12 D'UN GARAGE,50.68891,2.883116,1,,0,6961,,0
LYE001,4776,Lycee D'Etat,RUE JULES LEBLEU 59280 ARMENTIERES - AU DROIT DU LYCEE,50.687514,2.872201,1,,0,116,,0
CJR004,6375,College Jean Rostand,BOULEVARD FAIDHERBE 59280 ARMENTIERES - A L'OPP DU COLLEGE,50.687486,2.866101,1,,0,130,,0
ACT002,6363,Cat,RUE SAINT EXUPERY 59280 ARMENTIERES - AU DROIT DU N°22,50.691278,2.889059,1,,0,2677,,0
ARG077,2940,Armentieres Gare,SITUE COTE PARKING RELAIS 59280 ARMENTIERES - A L'OPP LIGNE DE CHEMIN DE FER,50.680741,2.878622,1,,0,6950,,0
PLC001,3291,Place Chanzy,RUE DES DEPORTES 59280 ARMENTIERES - AU DROIT DU N° 34,50.685882,2.892275,1,,0,5771,,0
JJA002,4566,Jean Jaures,RUE JEAN JAURES 59280 ARMENTIERES - AU DROIT DU N° 55,50.685741,2.887755,1,,0,5776,,0
ACI001,3807,Cimetiere,AVENUE DE STALYBRIDGE 59280 ARMENTIERES - AU DROIT DU CAFE N° 36,50.694678,2.89305,1,,0,143,,0
PMT004,4919,Place Aux Toiles,PLACE DU MARCHE AUX TOILES 59280 ARMENTIERES - AU DROIT DU N° 18,50.688887,2.882241,1,,0,6961,,0
APH099,4933,Pres Du Hem,RUE LEO LAGRANGE 59280 ARMENTIERES - AU DROIT DU N° 45,50.694979,2.883804,1,,0,6958,,0
CJR003,5058,College Jean Rostand,BOULEVARD FAIDHERBE 59280 ARMENTIERES - AU DROIT DU COLLEGE,50.687052,2.866845,1,,0,130,,0
RAY001,3028,Raymond Lis,RUE RAYMOND  LYS 59280 ARMENTIERES - A L'OPP DU N°71,50.691944,2.884519,1,,0,110,,0
HAZ001,4008,Lycee Hazard,RUE JULES LEBLEU 59280 ARMENTIERES - AU DROIT DU N° 48 BIS,50.689106,2.875254,1,,0,5775,,0
GUS002,4079,Jules Guesde,PLACE ROND POINT JULES GUESDE 59280 ARMENTIERES - AU DROIT DU N° 11,50.682861,2.885944,1,,0,5773,,0
GUS001,3785,Jules Guesde,PLACE PLACE JULES GUESDE 59280 ARMENTIERES - AU DROIT DU N° 74,50.682304,2.886037,1,,0,5773,,0
