stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
40515,91,"La Clé des Champs",43.2911109854,5.5821161993,0
40516,91B,"La Clé des Champs",43.291200394,5.5821335668,0
40324,339,"La Colombe",43.3641541192,5.6471985087,0
40325,339B,"La Colombe",43.3640998717,5.6472077032,0
40372,377,"La Comtesse",43.2942624672,5.5846706719,0
40373,377B,"La Comtesse",43.2943335486,5.5846993192,0
40519,95,"La Croix",43.3688555514,5.6273252345,0
40520,95B,"La Croix",43.3689075411,5.6273898618,0
40521,96,"La Curasse",43.2754534956,5.7146926894,0
40522,96B,"La Curasse",43.2755969414,5.7152796554,0
40523,98,"Mairie",43.3774084054,5.6057822074,0
40524,98B,"Mairie",43.3773934371,5.6056827123,0
40319,334,"La Dorgale",43.3365768114,5.5962712774,0
40525,99,"La Durande",43.3189981472,5.5815630332,0
40526,99B,"La Durande",43.3190632192,5.5814928093,0
40514,9,"Baumone",43.2947013248,5.594840846,0
40527,9B,"Baumone",43.2956810772,5.5951550358,0
40004,100B,"La Feutrière",43.2758115851,5.7061466647,0
40003,100,"La Feutrière",43.2756829446,5.7065206925,0
40007,102,"La Garenne",43.2756291139,5.5520339035,0
40009,103,"La Gastaude",43.3088218088,5.5451380743,0
40010,103B,"La Gastaude",43.3087917392,5.546146226,0
40011,104,"La Glacière",43.3681796542,5.6391216582,0
40012,104B,"La Glacière",43.3683802739,5.6387387074,0
40458,506,"La Gorgue",43.3308148689,5.5732256933,0
40459,506B,"La Gorgue",43.3308006108,5.5731016893,0
40330,343,"La Gratiane",43.3071427917,5.5390100005,0
40331,343B,"La Gratiane",43.3073051562,5.5395978524,0
40253,283,"La Marjolaine",43.3019674675,5.5596296677,0
40254,283B,"La Marjolaine",43.3050859486,5.5560982227,0
40013,107,"La Martisèle",43.3101362195,5.5733153558,0
40014,107B,"La Martisèle",43.3101598251,5.573427527,0
40002,10,"Beausoleil",43.2784619825,5.5178642661,0
40019,10B,"Beausoleil",43.2782711497,5.5182352486,0
40015,108,"La Muscatelle",43.2875276946,5.5233031768,0
40016,108B,"La Muscatelle",43.2881777513,5.5241271391,0
40017,109,"La Parette",43.360208338,5.6418427186,0
40018,109B,"La Parette",43.3604528406,5.6423745401,0
40659,131,"Le Castellet",43.2856602842,5.5663093748,0
40660,131B,"Le Castellet",43.2855917818,5.5661947285,0
40266,298,"La Penne",43.2817887963,5.51423283,0
40267,298B,"La Penne",43.2817862545,5.5143188527,0
40615,132,"Le Château",43.3796105265,5.5835278476,0
40262,293,"La Penne Gare",43.2843385635,5.5155926333,0
40616,133,"Le Deven",43.3772143504,5.5976456025,0
40679,133B,"Le Deven",43.3771908369,5.5981251373,0
40261,292,"La Penne Mairie",43.2828429382,5.5150789787,0
40260,291,"La Penne Poste",43.2812173293,5.5186570319,0
40021,110,"La Pignore",43.3047647947,5.5330896509,0
40022,110B,"La Pignore",43.3048106282,5.5333631145,0
40023,111,"La Place",43.3695331596,5.6328133939,0
40024,111B,"La Place",43.3695855227,5.6328657199,0
40617,137,"Le Panorama",43.3769002766,5.603854394,0
40680,137B,"Le Panorama",43.3766802569,5.603102051,0
40025,112,"La Plaine",43.3380295706,5.5743598487,0
40026,112B,"La Plaine",43.3379621837,5.5742081864,0
40027,113,"La Planque",43.2947124831,5.5742184284,0
40028,113B,"La Planque",43.2949119479,5.574463614,0
40886,13B,"Bouire",43.37488704,5.6091400012,0
40029,114,"La Pomme",43.4059231098,5.5758905743,0
40032,116,"La Queirade",43.2778308144,5.5288451795,0
40033,116B,"La Queirade",43.2780437353,5.528943178,0
40034,117,"La République",43.2970081309,5.6204226097,0
40035,117B,"La République",43.2971876588,5.6207283958,0
40336,346,"La Sabatière",43.295543355,5.557926843,0
40404,448,"La Sounce",43.3330591039,5.574559746,0
40405,448B,"La Sounce",43.3330706723,5.5744741561,0
40036,118,"La Thuilière",43.3030850768,5.5293881611,0
40037,118B,"La Thuilière",43.3031065388,5.529574061,0
40328,342,"La Thuilière Centre",43.300857521,5.5305078599,0
